,Unnamed: 0,season,title,episode_number,episode_name,date,length,url,downloaded
0,0,1,DRŽAVNI POSAO [HQ] - Ep.1: Rakija (24.09.2012.),1,Rakija,24.09.2012.,5:50,https://www.youtube.com/watch?v=McwPB-eQ2BY,True
1,1,1,DRŽAVNI POSAO [HQ] - Ep.2: Pilići (25.09.2012.),2,Pilići,25.09.2012.,5:35,https://www.youtube.com/watch?v=hI2t9a4ED04,True
2,2,1,DRŽAVNI POSAO [HQ] - Ep.3: Biti slobodan (26.09.2012.),3,Biti slobodan,26.09.2012.,4:35,https://www.youtube.com/watch?v=0YlkzhkLXPg,True
3,3,2,DRŽAVNI POSAO [HQ] - Ep.188: Odžačar (24.06.2013.),188,Odžačar,24.06.2013.,7:25,https://www.youtube.com/watch?v=MroqCKWf8SY,True
4,4,2,DRŽAVNI POSAO [HQ] - Ep.189: SPO Academy (25.06.2013.),189,SPO Academy,25.06.2013.,6:36,https://www.youtube.com/watch?v=ZhdPfuEHEWw,True
5,5,2,DRŽAVNI POSAO [HQ] - Ep.190: Kum (26.06.2013.),190,Kum,26.06.2013.,8:36,https://www.youtube.com/watch?v=qVCPvxNBOSo,True
6,6,3,DRŽAVNI POSAO [HQ] - Ep.402: Velinko 1 (08.09.2014.),402,Velinko 1,08.09.2014.,10:20,https://www.youtube.com/watch?v=K1ZqPEmk2Ho,True
7,7,3,DRŽAVNI POSAO [HQ] - Ep.403: Velinko 2 (09.09.2014.),403,Velinko 2,09.09.2014.,10:39,https://www.youtube.com/watch?v=Wh3E9QigVms,True
8,8,3,DRŽAVNI POSAO [HQ] - Ep.404: Seansa (10.09.2014.),404,Seansa,10.09.2014.,10:21,https://www.youtube.com/watch?v=VDWDgGnJrU0,True
9,9,4,DRŽAVNI POSAO [HQ] - Ep.592: Privatni posao (21.09.2015.),592,Privatni posao,21.09.2015.,4:50,https://www.youtube.com/watch?v=hRQq4iSLAi8,True
10,10,4,DRŽAVNI POSAO [HQ] - Ep.593: Rada (22.09.2015.),593,Rada,22.09.2015.,8:15,https://www.youtube.com/watch?v=ui3Y5-mFfzs,True
11,11,4,DRŽAVNI POSAO [HQ] - Ep.594: Izlazak (23.09.2015.),594,Izlazak,23.09.2015.,11:40,https://www.youtube.com/watch?v=mnON362XUmc,True
12,12,5,DRŽAVNI POSAO [HQ] - Ep.765: Išerekes (03.10.2016.),765,Išerekes,03.10.2016.,6:42,https://www.youtube.com/watch?v=ygSDsQhV7aI,True
13,13,5,DRŽAVNI POSAO [HQ] - Ep.766: Deca noći (04.10.2016.),766,Deca noći,04.10.2016.,7:56,https://www.youtube.com/watch?v=h4sMcp-stHQ,True
14,14,5,DRŽAVNI POSAO [HQ] - Ep.767: Zamena (05.10.2016.),767,Zamena,05.10.2016.,10:56,https://www.youtube.com/watch?v=hWQNY041Ifg,True
15,15,6,DRŽAVNI POSAO [HQ] - Ep.934: Lek za dušu (02.10.2017.),934,Lek za dušu,02.10.2017.,7:04,https://www.youtube.com/watch?v=0UHpZ9YlOeQ,True
16,16,6,DRŽAVNI POSAO [HQ] - Ep.935: Aritmetika (03.10.2017.),935,Aritmetika,03.10.2017.,7:49,https://www.youtube.com/watch?v=_gRpUR_vlBY,True
17,17,6,DRŽAVNI POSAO [HQ] - Ep.936: PIO (04.10.2017.),936,PIO,04.10.2017.,7:40,https://www.youtube.com/watch?v=VRAtUB7-HLg,True
18,18,7,DRŽAVNI POSAO [HQ] - Ep.1086: Strategos agapos (27.09.2018.),1086,Strategos agapos,27.09.2018.,10:24,https://www.youtube.com/watch?v=2CLFTY7Kwbo,True
19,19,7,DRŽAVNI POSAO [HQ] - Ep.1087: Tehnički (28.09.2018.),1087,Tehnički,28.09.2018.,10:28,https://www.youtube.com/watch?v=jwQUlT7HanQ,True
20,20,7,DRŽAVNI POSAO [HQ] - Ep.1088: Konstantin Veliki (01.10.2018.),1088,Konstantin Veliki,01.10.2018.,9:20,https://www.youtube.com/watch?v=ii4I7FKBZjA,True
21,21,8,DRŽAVNI POSAO [HQ] - Ep.1250: Opstanak 1 (16.09.2019.),1250,Opstanak 1,16.09.2019.,6:50,https://www.youtube.com/watch?v=ZCFpz16dYYA,True
