season, url,
1,'https://www.youtube.com/playlist?list=PLACTVlX7-E7rq5Ghz0ll5sARODdIGljLK',
2,'https://www.youtube.com/playlist?list=PLACTVlX7-E7oyZ9QGPqFVYmXX0npYN9tZ',
3,'https://www.youtube.com/playlist?list=PLACTVlX7-E7ot5AxkiGvuy4qem8nM-Mo6',
4,'https://www.youtube.com/playlist?list=PLACTVlX7-E7qP5XYTd7MsqgeewRPlw4HR',
5,'https://www.youtube.com/playlist?list=PLACTVlX7-E7rBAqGs_bgQDDJNZgwRpVKI',
6,'https://www.youtube.com/playlist?list=PLACTVlX7-E7ovvwkDQn2B4aRyQf0E-Ecb',
6,'https://www.youtube.com/playlist?list=PLACTVlX7-E7o_dbXQophqz_3dhnZFk2i7',
7,'https://www.youtube.com/playlist?list=PLACTVlX7-E7o9lBOoNCZgPLqBsRlzV2f6',
7,'https://www.youtube.com/playlist?list=PLACTVlX7-E7ovtPLoVkGceGx6537TGoW7',
8,'https://www.youtube.com/playlist?list=PLACTVlX7-E7rQIBED2Kfqk88nJL8iYpyw',
9,'https://www.youtube.com/playlist?list=PLACTVlX7-E7oEGoLBnXkL5yt5nnSAaWXw',
10,'https://www.youtube.com/playlist?list=PLACTVlX7-E7qpWXUMNNvGsWaSU9jep85J',
11,'https://www.youtube.com/playlist?list=PLACTVlX7-E7pbBjiq1d8c39N0MAfx7KPP',
12,'https://www.youtube.com/playlist?list=PLACTVlX7-E7p3mtr1Eds5KmZ0RIiESRv2',
